T1_GFT,T2_GFT,T1_GHT,T2_GHT,T1_S,T2_S,T1_ST,T2_ST,T1_F,T2_F,T1_C,T2_C,T1_Y,T2_Y,T1_R,T2_R,T1_GH2,T2_GH2,Loss,Draw,Win,HTLoss,HTDraw,HTWin,HT2Loss,HT2Draw,HT2Win,zScore0:3,zScore1:3,zScore0:2,zScore1:2,zScore0:1,zScore0:0,zScore1:1,zScore1:0,zScore2:1,zScore2:0,zScore3:1,zScore3:0,zScore2:2,zScore3:2,zScore2:3,zScore3:3,FTG4,FTG0,HTG0,T1_xG,T2_xG
2.0,0.0,0.0,0.0,13.0,14.0,7.0,4.0,12.0,12.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1,2.0,0.0
0.0,2.0,0.0,0.0,14.0,13.0,4.0,7.0,12.0,12.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0,0,1,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,2.0
1.0,0.0,0.0,0.0,24.0,7.0,11.0,0.0,8.0,10.0,16.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0
0.0,1.0,0.0,0.0,7.0,24.0,0.0,11.0,10.0,8.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1.0
1.0,0.0,0.0,0.0,10.0,15.0,4.0,3.0,16.0,20.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0
0.0,1.0,0.0,0.0,15.0,10.0,3.0,4.0,20.0,16.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1.0
1.0,1.0,1.0,1.0,9.0,9.0,1.0,3.0,10.0,28.0,3.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
1.0,1.0,1.0,1.0,9.0,9.0,3.0,1.0,28.0,10.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
2.0,2.0,1.0,2.0,8.0,13.0,4.0,7.0,22.0,28.0,3.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,1,0,0,2.0,2.0
2.0,2.0,2.0,1.0,13.0,8.0,7.0,4.0,28.0,22.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,2,0,0,0,1,0,0,2.0,2.0
1.0,2.0,0.0,1.0,14.0,9.0,3.0,5.0,14.0,21.0,9.0,6.0,2.0,1.0,0.0,0.0,1.0,1.0,1,0,0,1,0,0,0,1,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,2.0
